documento_id;tipo_documento;area_direito;modelo_ou_peca_real;qualidade_clareza;qualidade_estrutura;risco;resumo;NOTA;RAG GOLD;RAG SILVER;RAG_GOLD;RAG_SILVER
ACÃßAÃÉO INDENIZATOÃÅRIA - DANOS MATERIAIS E MORAIS (1).docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria por danos materiais e morais contra a Nextel Telecomunica√ß√µes devido √† falha na presta√ß√£o de servi√ßos de internet e voz, com pedidos de devolu√ß√£o de valores e compensa√ß√£o por danos morais.;56,25;NÃO;SIM;NÃO;SIM
Acao-de-superendividamento-com-prequestionamento.docx;peticao_inicial;civil;peca_real;8;7;2;A√ß√£o revisional de contrato de empr√©stimo com pedido de tutela de urg√™ncia, visando a suspens√£o de descontos banc√°rios devido ao superendividamento dos autores.;56,25;NÃO;SIM;NÃO;SIM
[2022] Nova Lei do Superendividamento.docx;peticao_inicial;consumidor;peca_real;8;7;2;A pe√ßa trata da A√ß√£o de Pactua√ß√£o de D√≠vidas pela Lei do Superendividamento, solicitando a gratuidade de justi√ßa e a repactua√ß√£o de d√≠vidas da autora, que enfrenta dificuldades financeiras.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de superendividamento com pedido de gratuidade de justi√ßa, visando a revis√£o de contratos de empr√©stimo e suspens√£o de pagamentos devido √† hipossufici√™ncia financeira dos autores.;56,25;NÃO;SIM;NÃO;SIM
Reembolso Pacote de Turismo - COVID.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o de indeniza√ß√£o por danos materiais e morais devido ao cancelamento de pacote de turismo em raz√£o da pandemia de COVID-19, com base na rela√ß√£o de consumo e aplica√ß√£o do C√≥digo de Defesa do Consumidor.;56,25;NÃO;SIM;NÃO;SIM
Recurso Inominado CiÃÅvel  - IndenizacÃßaÃÉo - Passagens AeÃÅreas - Cancelamento do voÃÇo - Pandemia.docx;recurso;consumidor;peca_real;8;7;2;Recurso inominado visando a indeniza√ß√£o por danos materiais e morais devido ao cancelamento de voo em raz√£o da pandemia, alegando descumprimento contratual pela companhia a√©rea.;56,25;NÃO;SIM;NÃO;SIM
Acao-indenizacao-plano-saude-se-negar-dar-cobertura.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria contra plano de sa√∫de por negativa de cobertura em emerg√™ncia, pleiteando danos materiais e morais.;56,25;NÃO;SIM;NÃO;SIM
embargos_acao_monitoria_ausencia_documento_essencial_preliminar_cheque_especial_contrato_abertura_credito.docx;contestacao;civil;peca_real;8;7;2;A pe√ßa √© uma contesta√ß√£o em embargos √† a√ß√£o monit√≥ria, alegando a aus√™ncia de documentos essenciais para a comprova√ß√£o do d√©bito e requerendo a extin√ß√£o da a√ß√£o.;56,25;NÃO;SIM;NÃO;SIM
Acao_repeticao_indebito_leasing_VRG_arrendamento_mercantil.docx;peticao_inicial;civil;peca_real;8;7;2;A√ß√£o de repeti√ß√£o de ind√©bito em decorr√™ncia de contrato de arrendamento mercantil, pleiteando a devolu√ß√£o de valores pagos indevidamente ao banco.;56,25;NÃO;SIM;NÃO;SIM
Acao-Cominatoria-Obrigacao-fazer-Pedido-liminar-autorizar-tratamento-parto-Danos-morais-Portabilidade-Plano-saude.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o cominat√≥ria visando a autoriza√ß√£o de tratamento de sa√∫de e repara√ß√£o por danos morais, com base na portabilidade de plano de sa√∫de e direitos do consumidor.;56,25;NÃO;SIM;NÃO;SIM
ACÃßAÃÉO INDENIZATOÃÅRIA - DANOS MATERIAIS E MORAIS.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria por danos materiais e morais contra a Nextel Telecomunica√ß√µes devido √† falha na presta√ß√£o de servi√ßos de internet e voz, com pedidos de devolu√ß√£o de valores e compensa√ß√£o por danos morais.;56,25;NÃO;SIM;NÃO;SIM
ACÃßAÃÉO INDENIZATOÃÅRIA - ATRASSO VOO.docx;peticao_inicial;consumidor;peca_real;8;7;2;A pe√ßa trata de uma a√ß√£o indenizat√≥ria por danos materiais e morais devido ao atraso de um voo, destacando a responsabilidade da companhia a√©rea e a invers√£o do √¥nus da prova.;56,25;NÃO;SIM;NÃO;SIM
Acao-Indenizatoria-cancelamento-programa-milhagem.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o de indeniza√ß√£o por danos materiais e morais devido ao cancelamento indevido de pontos em programa de milhagem, alegando enriquecimento il√≠cito da empresa requerida.;56,25;NÃO;SIM;NÃO;SIM
Consumidor - IndenizatoÃÅria - Produto com Defeito.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria por produto com defeito, pleiteando restitui√ß√£o de valores e danos morais devido √† falta de assist√™ncia do fornecedor.;56,25;NÃO;SIM;NÃO;SIM
ACÃßAÃÉO INDENIZATOÃÅRIA - DANOS MATERIAIS E MORAIS (1).docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria por danos materiais e morais devido √† falha na presta√ß√£o de servi√ßos de telefonia, onde o autor n√£o recebeu o servi√ßo contratado e foi indevidamente cobrado.;56,25;NÃO;SIM;NÃO;SIM
Indenizatoria-Produto-servico-defeito-Vicio-redibitorio-Vicio-oculto.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria proposta por consumidor em face de fornecedores por v√≠cio oculto em produto, pleiteando repara√ß√£o por danos materiais e morais.;56,25;NÃO;SIM;NÃO;SIM
Indenizatoria-Produto-nao-entregue-compra-internet.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o indenizat√≥ria por n√£o entrega de produto adquirido pela internet, pleiteando restitui√ß√£o de valores e danos morais.;56,25;NÃO;SIM;NÃO;SIM
ContestacÃßaÃÉo Erro MeÃÅdico - SUS .docx;contestacao;civil;peca_real;8;7;2;Contesta√ß√£o apresentada pelo Munic√≠pio em a√ß√£o de indeniza√ß√£o por erro m√©dico, defendendo a aus√™ncia de culpa e a improced√™ncia do pedido de danos morais.;56,25;NÃO;SIM;NÃO;SIM
Acao_revisional_FIES.docx;peticao_inicial;civil;peca_real;8;7;2;A√ß√£o revisional de contrato de financiamento do FIES, com pedido de tutela provis√≥ria de urg√™ncia, visando a revis√£o de encargos contratuais considerados ilegais.;56,25;NÃO;SIM;NÃO;SIM
Pedido_principal_revisional_cartao_credito.docx;peticao_inicial;civil;peca_real;8;7;2;A√ß√£o revisional de contrato de cart√£o de cr√©dito, visando a exclus√£o de encargos considerados abusivos e a regulariza√ß√£o de valores devidos.;56,25;NÃO;SIM;NÃO;SIM
Acao-Revisional-bancaria-juros-abusivos-Anatocismo.docx;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o revisional de contrato com pedido de tutela de urg√™ncia, visando a revis√£o de cl√°usulas abusivas e a cessa√ß√£o de cobran√ßas indevidas de juros compostos por institui√ß√£o financeira.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;consumidor;peca_real;8;7;2;A√ß√£o de repactua√ß√£o de d√≠vidas com base na Lei do Superendividamento, solicitando a cita√ß√£o de credores e a concess√£o de justi√ßa gratuita.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;civil;peca_real;8;7;2;A pe√ßa apresenta uma exce√ß√£o de pr√©-executividade fundamentada na nova Lei do Superendividamento, visando a repactua√ß√£o de d√≠vidas do executado, alegando sua condi√ß√£o de superendividado.;56,25;NÃO;SIM;NÃO;SIM
[2022] Nova Lei do Superendividamento.docx;peticao_inicial;consumidor;peca_real;8;7;2;A pe√ßa trata da A√ß√£o de Pactua√ß√£o de D√≠vidas pela Lei do Superendividamento, solicitando a gratuidade de justi√ßa e a repactua√ß√£o de d√≠vidas da autora, que enfrenta dificuldades financeiras.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de superendividamento com pedido de gratuidade de justi√ßa, visando a suspens√£o de descontos em conta e revis√£o de contratos de empr√©stimo devido √† hipossufici√™ncia financeira dos autores.;56,25;NÃO;SIM;NÃO;SIM
Modelo - Acao de Indenizacao por Danos Morais e Materiais por Fraude em Emprestimo Consignado.docx;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de indeniza√ß√£o por danos morais e materiais devido a fraude em empr√©stimo consignado, com pedido de tutela antecipada e justi√ßa gratuita.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;tributario;peca_real;8;7;2;A√ß√£o de repeti√ß√£o de ind√©bito tribut√°rio visando a restitui√ß√£o de valores pagos indevidamente em raz√£o de viola√ß√£o aos princ√≠pios da anterioridade anual e nonagesimal.;56,25;NÃO;SIM;NÃO;SIM
2021;recurso;tributario;modelo;8;7;2;Recurso administrativo tribut√°rio contestando auto de infra√ß√£o relacionado √† dedu√ß√£o de despesas m√©dicas no Imposto de Renda, alegando nulidades formais e falta de notifica√ß√£o.;56,25;NÃO;SIM;NÃO;SIM
A√ß√£o declarat√≥ria de inexisteÃÇncia de relacÃßaÃÉo juriÃÅdica tributaÃÅria - IR.docx;peticao_inicial;tributario;peca_real;8;7;2;A pe√ßa trata de uma a√ß√£o declarat√≥ria de inexist√™ncia de rela√ß√£o jur√≠dica tribut√°ria, pleiteando a isen√ß√£o do Imposto de Renda devido a doen√ßa grave e a devolu√ß√£o de valores indevidamente retidos.;56,25;NÃO;SIM;NÃO;SIM
72;contestacao;tributario;peca_real;8;7;2;Contesta√ß√£o apresentada pela Uni√£o Federal em a√ß√£o ordin√°ria, alegando prescri√ß√£o e decad√™ncia do direito de a√ß√£o da parte autora, al√©m de recha√ßar a tese com base em jurisprud√™ncia.;56,25;NÃO;SIM;NÃO;SIM
Embargos aÃÄ execucÃßaÃÉo fiscal.docx;peticao_inicial;tributario;peca_real;8;7;2;A pe√ßa trata de embargos √† execu√ß√£o fiscal, questionando a validade da Certid√£o de D√≠vida Ativa e a falta de elementos essenciais na peti√ß√£o inicial.;56,25;NÃO;SIM;NÃO;SIM
PrescricÃßaÃÉo CreÃÅdito TributaÃÅrio.docx;peticao_inicial;tributario;peca_real;8;7;2;A pe√ßa apresenta uma manifesta√ß√£o em embargos √† execu√ß√£o, discutindo a prescri√ß√£o de cr√©dito tribut√°rio e a aplica√ß√£o de normas pertinentes ao caso.;56,25;NÃO;SIM;NÃO;SIM
imunidade tributaÃÅria.docx;outro;tributario;peca_real;8;7;2;A pe√ßa √© um mandado de seguran√ßa preventivo que busca garantir a imunidade tribut√°ria de uma entidade sem fins lucrativos, contestando um auto de infra√ß√£o da Receita Federal.;56,25;NÃO;SIM;NÃO;SIM
Inconstitucionalidade - BitributacÃßaÃÉo - Mandado de SegurancÃßa.docx;peticao_inicial;tributario;peca_real;8;7;2;A pe√ßa trata da impetra√ß√£o de um mandado de seguran√ßa contra a inconstitucionalidade da CPMF, argumentando sobre a bitributa√ß√£o e a viola√ß√£o de princ√≠pios constitucionais tribut√°rios.;56,25;NÃO;SIM;NÃO;SIM
38;peticao_inicial;tributario;peca_real;8;7;2;A√ß√£o declarat√≥ria visando a nulidade de cr√©ditos tribut√°rios referentes ao ICMS, argumentando a falta de base de c√°lculo na legisla√ß√£o estadual.;56,25;NÃO;SIM;NÃO;SIM
39;contestacao;tributario;peca_real;8;7;2;Defesa contra auto de infra√ß√£o referente √† cobran√ßa de ISS sobre servi√ßos banc√°rios, alegando nulidade pela falta de indica√ß√£o do fato gerador e fundamenta√ß√£o legal insuficiente.;56,25;NÃO;SIM;NÃO;SIM
A√ß√£o de Execu√ß√£o Fiscal.docx;peticao_inicial;tributario;peca_real;8;7;2;A pe√ßa √© uma exce√ß√£o de pr√©-executividade em uma a√ß√£o de execu√ß√£o fiscal, questionando a nulidade da cita√ß√£o por edital e a origem do cr√©dito executado.;56,25;NÃO;SIM;NÃO;SIM
Bloqueio - BacenJud - Pedido de reducÃßaÃÉo a termo penhora.docx;contestacao;civil;peca_real;8;7;2;A pe√ßa √© uma contesta√ß√£o ao cumprimento de senten√ßa, onde a R√© argumenta sobre a aus√™ncia de penhora e requer a convers√£o do bloqueio em penhora formal.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE REPETICÃßAÃÉO DE INDEÃÅBITO.docx;peticao_inicial;consumidor;modelo;8;7;2;A√ß√£o de repeti√ß√£o de ind√©bito e pedido de indeniza√ß√£o por danos morais devido √† cobran√ßa indevida em compra realizada pelo autor.;56,25;NÃO;SIM;NÃO;SIM
2021;peticao_inicial;administrativo;peca_real;8;7;2;A√ß√£o de cobran√ßa de adicional de insalubridade proposta por servidora p√∫blica estadual, solicitando justi√ßa gratuita e pagamento retroativo do adicional devido.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE RESCISAÃÉO DE CONTRATO - REINTEGRACÃßAÃÉO DE POSSE.docx;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de rescis√£o contratual com pedido de reintegra√ß√£o de posse, fundamentada no inadimplemento de contrato de compra e venda de im√≥vel, com prioridade de tramita√ß√£o devido √† idade da autora.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DECLARATOÃÅRIA DE INEXISTEÃÇNCIA DE DEÃÅBITO.docx;peticao_inicial;consumidor;modelo;8;7;2;A√ß√£o declarat√≥ria de inexist√™ncia de d√©bito com pedido de danos morais e tutela de urg√™ncia para evitar corte de energia el√©trica devido a cobran√ßa indevida.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE CUMPRIMENTO FORCÃßADO DE OFERTA PROMOCIONAL.docx;peticao_inicial;consumidor;modelo;8;7;2;A√ß√£o de cumprimento for√ßado de oferta promocional com pedido de indeniza√ß√£o por danos morais, em raz√£o do descumprimento de uma promo√ß√£o por parte da r√©.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE CUMPRIMENTO DE OFERTA.docx;peticao_inicial;consumidor;modelo;8;7;2;A√ß√£o de obriga√ß√£o de fazer com pedido de repara√ß√£o de danos morais devido a falhas na presta√ß√£o de servi√ßos de telefonia.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE COBRANCÃßA DE HONORAÃÅRIOS ADVOCATIÃÅCIOS.docx;peticao_inicial;civil;modelo;8;7;2;A pe√ßa √© uma a√ß√£o de cobran√ßa de honor√°rios advocat√≠cios, detalhando a rela√ß√£o contratual entre advogado e cliente, e a negativa de pagamento por parte do cliente ap√≥s acordo judicial.;56,25;NÃO;SIM;NÃO;SIM
[2022] Segundos - Embargos de DeclaraaÃÉo - OmissaÃÉo - ContradicÃßaÃÉo - Enfrentamento dos Temas.docx;recurso;civil;modelo;8;7;2;Modelo de embargos de declara√ß√£o visando corrigir omiss√µes e contradi√ß√µes em decis√£o judicial, com pedido de efeito modificativo.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE AUTORIZACÃßAÃÉO JUDICIAL - VIAGEM.docx;peticao_inicial;familia;modelo;8;7;2;Modelo de autoriza√ß√£o judicial para viagem de menor, destacando a necessidade de autoriza√ß√£o paterna e os direitos √† educa√ß√£o.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE RESPONSABILIDADE CIVIL - ERRO MEÃÅDICO - DANOS MORAIS.docx;peticao_inicial;civil;modelo;8;7;2;A pe√ßa √© uma peti√ß√£o inicial de a√ß√£o ordin√°ria de indeniza√ß√£o por danos morais devido a erro m√©dico, abordando a legitimidade ativa e os fatos que levaram ao falecimento do paciente.;56,25;NÃO;SIM;NÃO;SIM
[2022] Embargos DeclaracÃßaÃÉo com Pedido de Efeito Modificativo-Infringente.docx;recurso;civil;modelo;8;7;2;Modelo de embargos de declara√ß√£o com pedido de efeito modificativo/infringente, abordando quest√µes de ilegitimidade ativa e extin√ß√£o de invent√°rio sem resolu√ß√£o do m√©rito.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE VENDA CASA.docx;peticao_inicial;consumidor;modelo;8;7;2;A pe√ßa √© uma a√ß√£o de obriga√ß√£o de n√£o fazer contra uma empresa de internet, alegando descumprimento de contrato de servi√ßo de internet ilimitada.;56,25;NÃO;SIM;NÃO;SIM
[2022] AcÃßaÃÉo de Retificacao de Registro Civil - Civil.docx;peticao_inicial;civil;peca_real;8;7;2;A√ß√£o de retifica√ß√£o de registro civil para alterar o nome da genitora do requerente em documentos oficiais, fundamentada na Lei 6.015/73.;56,25;NÃO;SIM;NÃO;SIM
2021;recurso;civil;peca_real;8;7;2;Agravo de instrumento interposto contra o indeferimento de gratuidade de justi√ßa, argumentando a hipossufici√™ncia do requerente e a necessidade de reforma da decis√£o.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE DANOS MORAIS E MATERIAIS - FURTO EM ESTACIONAMENTO.docx;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de indeniza√ß√£o por danos materiais e morais devido ao furto de uma bicicleta em estacionamento de estabelecimento comercial, com fundamenta√ß√£o em responsabilidade civil e C√≥digo de Defesa do Consumidor.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE NEGATIVACÃßAÃÉO INDEVIDA.docx;peticao_inicial;civil;modelo;8;7;2;A pe√ßa √© uma a√ß√£o de indeniza√ß√£o por negativa√ß√£o indevida, com pedido liminar para exclus√£o de apontamentos e danos morais, fundamentada em ato il√≠cito e responsabilidade objetiva do r√©u.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO NEGATOÃÅRIA DE DEÃÅBITOS.docx;peticao_inicial;consumidor;modelo;8;7;2;A√ß√£o declarat√≥ria de inexist√™ncia de d√©bito e danos morais, com pedido de tutela antecipada, em face de cobran√ßa indevida por parte de institui√ß√£o de ensino.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE REPARACÃßAÃÉO POR DANOS MORAIS.docx;peticao_inicial;consumidor;modelo;8;7;2;Modelo de a√ß√£o de repara√ß√£o por danos morais devido ao atraso na entrega de produto adquirido em pr√©-venda, fundamentado no C√≥digo de Defesa do Consumidor.;56,25;NÃO;SIM;NÃO;SIM
1;recurso;administrativo;peca_real;8;7;2;Recurso de apela√ß√£o interposto pelo Munic√≠pio contra decis√£o que o condenou a fornecer medicamentos especiais, argumentando ilegitimidade passiva e aus√™ncia de resist√™ncia na solicita√ß√£o dos f√°rmacos.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE COBRANCÃßA INDEVIDA - EXCESSO DE BAGAGEM.docx;peticao_inicial;consumidor;modelo;8;7;2;A√ß√£o de repeti√ß√£o de ind√©bito e indeniza√ß√£o por danos morais devido √† cobran√ßa indevida de excesso de bagagem por companhia a√©rea.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE MANUTENCÃßAÃÉO DE POSSE DO IMOÃÅVEL.docx;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de manuten√ß√£o de posse de im√≥vel, com pedido de medida liminar, em face de invas√£o por parte do r√©u, apresentando fundamentos f√°ticos e jur√≠dicos para a prote√ß√£o da posse da autora.;56,25;NÃO;SIM;NÃO;SIM
[2022] Modelo - ExtincÃßaÃÉo de Condominio - Venda de QuinhaÃÉo - Civil.docx;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de dissolu√ß√£o de condom√≠nio com pedido de venda de quinh√£o, devido √† falta de acordo entre os cond√¥minos.;56,25;NÃO;SIM;NÃO;SIM
4;peticao_inicial;civil;peca_real;8;7;2;A√ß√£o de indeniza√ß√£o por danos materiais e morais decorrentes de erro m√©dico, com fundamenta√ß√£o em legisla√ß√£o e jurisprud√™ncia pertinentes.;56,25;NÃO;SIM;NÃO;SIM
688;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de restitui√ß√£o de valores e revis√£o de d√≠vida de financiamento, com pedido de antecipa√ß√£o de tutela, alegando abusividade nas cl√°usulas contratuais e cobran√ßa de juros excessivos.;56,25;NÃO;SIM;NÃO;SIM
[2022] Prova Pericial - Engenharia - IndenizacÃßaÃÉo - Sociedade de Fato - Investimento - ContrucÃßaÃÉo de PreÃÅdio - Quesitos - Assistente TeÃÅcnico.docx;peticao_inicial;civil;peca_real;8;7;2;Apresenta√ß√£o de quesitos e indica√ß√£o de assistente t√©cnico para prova pericial em a√ß√£o de indeniza√ß√£o relacionada √† constru√ß√£o de pr√©dio.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO REVISIONAL DE VEIÃÅCULOS.docx;peticao_inicial;consumidor;modelo;8;7;2;A pe√ßa √© uma a√ß√£o revisional de contrato de financiamento de ve√≠culo, alegando cl√°usulas abusivas e a aplica√ß√£o indevida de juros, com pedido de assist√™ncia judici√°ria gratuita.;56,25;NÃO;SIM;NÃO;SIM
3;peticao_inicial;civil;peca_real;8;7;2;A√ß√£o indenizat√≥ria por abandono afetivo, visando repara√ß√£o por danos morais devido √† neglig√™ncia do pai em rela√ß√£o ao filho.;56,25;NÃO;SIM;NÃO;SIM
[2022] Modelo ImpugnacÃßaÃÉo a ContestacÃßaÃÉo da Re.docx;peticao_inicial;civil;modelo;8;7;2;A pe√ßa √© uma impugna√ß√£o √† contesta√ß√£o em um processo civil, abordando quest√µes de litig√¢ncia de m√°-f√© e a validade de contratos de empr√©stimo consignado.;56,25;NÃO;SIM;NÃO;SIM
-[2022] ImpugnacÃßaÃÉo a ContestacÃßaÃÉo - Juizado.docx;peticao_inicial;civil;peca_real;8;7;2;Pe√ßa de impugna√ß√£o √† contesta√ß√£o em processo civil, abordando quest√µes de boa-f√©, danos morais e invers√£o do √¥nus da prova.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE EXCECÃßAÃÉO DE PREÃÅ-EXECUTIVIDADE.docx;peticao_inicial;tributario;modelo;8;7;2;Modelo de exce√ß√£o de pr√©-executividade alegando ilegitimidade passiva em execu√ß√£o fiscal, com base em jurisprud√™ncia do STJ.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE DECLARATOÃÅRIA DE INEXISTEÃÇNCIA DE DEÃÅBITO.docx;peticao_inicial;civil;modelo;8;7;2;A pe√ßa √© uma a√ß√£o declarat√≥ria de inexist√™ncia de d√©bito e danos morais, onde a autora contesta cobran√ßas indevidas feitas por uma institui√ß√£o financeira.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE REPARACÃßAÃÉO POR DANOS MORAIS - SERASA.docx;peticao_inicial;civil;modelo;8;7;2;A√ß√£o de repara√ß√£o por danos morais devido √† negativa√ß√£o indevida do nome do autor em cadastro de prote√ß√£o ao cr√©dito, sem notifica√ß√£o pr√©via.;56,25;NÃO;SIM;NÃO;SIM
MODELO DE ACÃßAÃÉO DE DEFESA DO CONSUMIDOR.docx;peticao_inicial;consumidor;modelo;8;7;2;Modelo de a√ß√£o de defesa do consumidor, onde a autora busca repara√ß√£o por n√£o entrega de produto adquirido e danos morais.;56,25;NÃO;SIM;NÃO;SIM
