documento_id,tipo_documento,area_direito,modelo_ou_peca_real,qualidade_clareza,qualidade_estrutura,risco,resumo
AÇÃO INDENIZATÓRIA - DANOS MATERIAIS E MORAIS (1).docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória por danos materiais e morais contra a Nextel Telecomunicações devido à falha na prestação de serviços de internet e voz, com pedidos de devolução de valores e compensação por danos morais."
Acao-de-superendividamento-com-prequestionamento.docx,peticao_inicial,civil,peca_real,8,7,2,"Ação revisional de contrato de empréstimo com pedido de tutela de urgência, visando a suspensão de descontos bancários devido ao superendividamento dos autores."
[2022] Nova Lei do Superendividamento.docx,peticao_inicial,consumidor,peca_real,8,7,2,"A peça trata da Ação de Pactuação de Dívidas pela Lei do Superendividamento, solicitando a gratuidade de justiça e a repactuação de dívidas da autora, que enfrenta dificuldades financeiras."
2021,peticao_inicial,civil,modelo,8,7,2,"Ação de superendividamento com pedido de gratuidade de justiça, visando a revisão de contratos de empréstimo e suspensão de pagamentos devido à hipossuficiência financeira dos autores."
Reembolso Pacote de Turismo - COVID.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação de indenização por danos materiais e morais devido ao cancelamento de pacote de turismo em razão da pandemia de COVID-19, com base na relação de consumo e aplicação do Código de Defesa do Consumidor."
Recurso Inominado Cível  - Indenização - Passagens Aéreas - Cancelamento do vôo - Pandemia.docx,recurso,consumidor,peca_real,8,7,2,"Recurso inominado visando a indenização por danos materiais e morais devido ao cancelamento de voo em razão da pandemia, alegando descumprimento contratual pela companhia aérea."
Acao-indenizacao-plano-saude-se-negar-dar-cobertura.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória contra plano de saúde por negativa de cobertura em emergência, pleiteando danos materiais e morais."
embargos_acao_monitoria_ausencia_documento_essencial_preliminar_cheque_especial_contrato_abertura_credito.docx,contestacao,civil,peca_real,8,7,2,"A peça é uma contestação em embargos à ação monitória, alegando a ausência de documentos essenciais para a comprovação do débito e requerendo a extinção da ação."
Acao_repeticao_indebito_leasing_VRG_arrendamento_mercantil.docx,peticao_inicial,civil,peca_real,8,7,2,"Ação de repetição de indébito em decorrência de contrato de arrendamento mercantil, pleiteando a devolução de valores pagos indevidamente ao banco."
Acao-Cominatoria-Obrigacao-fazer-Pedido-liminar-autorizar-tratamento-parto-Danos-morais-Portabilidade-Plano-saude.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação cominatória visando a autorização de tratamento de saúde e reparação por danos morais, com base na portabilidade de plano de saúde e direitos do consumidor."
AÇÃO INDENIZATÓRIA - DANOS MATERIAIS E MORAIS.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória por danos materiais e morais contra a Nextel Telecomunicações devido à falha na prestação de serviços de internet e voz, com pedidos de devolução de valores e compensação por danos morais."
AÇÃO INDENIZATÓRIA - ATRASSO VOO.docx,peticao_inicial,consumidor,peca_real,8,7,2,"A peça trata de uma ação indenizatória por danos materiais e morais devido ao atraso de um voo, destacando a responsabilidade da companhia aérea e a inversão do ônus da prova."
Acao-Indenizatoria-cancelamento-programa-milhagem.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação de indenização por danos materiais e morais devido ao cancelamento indevido de pontos em programa de milhagem, alegando enriquecimento ilícito da empresa requerida."
Consumidor - Indenizatória - Produto com Defeito.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória por produto com defeito, pleiteando restituição de valores e danos morais devido à falta de assistência do fornecedor."
AÇÃO INDENIZATÓRIA - DANOS MATERIAIS E MORAIS (1).docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória por danos materiais e morais devido à falha na prestação de serviços de telefonia, onde o autor não recebeu o serviço contratado e foi indevidamente cobrado."
Indenizatoria-Produto-servico-defeito-Vicio-redibitorio-Vicio-oculto.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória proposta por consumidor em face de fornecedores por vício oculto em produto, pleiteando reparação por danos materiais e morais."
Indenizatoria-Produto-nao-entregue-compra-internet.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação indenizatória por não entrega de produto adquirido pela internet, pleiteando restituição de valores e danos morais."
Contestação Erro Médico - SUS .docx,contestacao,civil,peca_real,8,7,2,"Contestação apresentada pelo Município em ação de indenização por erro médico, defendendo a ausência de culpa e a improcedência do pedido de danos morais."
Acao_revisional_FIES.docx,peticao_inicial,civil,peca_real,8,7,2,"Ação revisional de contrato de financiamento do FIES, com pedido de tutela provisória de urgência, visando a revisão de encargos contratuais considerados ilegais."
Pedido_principal_revisional_cartao_credito.docx,peticao_inicial,civil,peca_real,8,7,2,"Ação revisional de contrato de cartão de crédito, visando a exclusão de encargos considerados abusivos e a regularização de valores devidos."
Acao-Revisional-bancaria-juros-abusivos-Anatocismo.docx,peticao_inicial,consumidor,peca_real,8,7,2,"Ação revisional de contrato com pedido de tutela de urgência, visando a revisão de cláusulas abusivas e a cessação de cobranças indevidas de juros compostos por instituição financeira."
2021,peticao_inicial,consumidor,peca_real,8,7,2,"Ação de repactuação de dívidas com base na Lei do Superendividamento, solicitando a citação de credores e a concessão de justiça gratuita."
2021,peticao_inicial,civil,peca_real,8,7,2,"A peça apresenta uma exceção de pré-executividade fundamentada na nova Lei do Superendividamento, visando a repactuação de dívidas do executado, alegando sua condição de superendividado."
[2022] Nova Lei do Superendividamento.docx,peticao_inicial,consumidor,peca_real,8,7,2,"A peça trata da Ação de Pactuação de Dívidas pela Lei do Superendividamento, solicitando a gratuidade de justiça e a repactuação de dívidas da autora, que enfrenta dificuldades financeiras."
2021,peticao_inicial,civil,modelo,8,7,2,"Ação de superendividamento com pedido de gratuidade de justiça, visando a suspensão de descontos em conta e revisão de contratos de empréstimo devido à hipossuficiência financeira dos autores."
Modelo - Acao de Indenizacao por Danos Morais e Materiais por Fraude em Emprestimo Consignado.docx,peticao_inicial,civil,modelo,8,7,2,"Ação de indenização por danos morais e materiais devido a fraude em empréstimo consignado, com pedido de tutela antecipada e justiça gratuita."
[2021] Modelo - Ação de Repetição de Indebito Direito Tributario - Tributário.docx,peticao_inicial,tributario,modelo,8,8,2,"Modelo de ação de repetição de indébito tributário, visando a restituição de ICMS pago indevidamente sobre bens destinados à exportação."
2021,peticao_inicial,tributario,peca_real,8,7,2,Ação de repetição de indébito tributário visando a restituição de valores pagos indevidamente em razão de violação aos princípios da anterioridade anual e nonagesimal.
2021,recurso,tributario,modelo,8,7,2,"Recurso administrativo tributário contestando auto de infração relacionado à dedução de despesas médicas no Imposto de Renda, alegando nulidades formais e falta de notificação."
ANULATORIA_CREDITO_TRIBUTARIO.docx,peticao_inicial,tributario,peca_real,8,7,3,"Ação anulatória de crédito tributário de ICMS, argumentando a inexistência de fato gerador devido ao furto de mercadorias, e a ilegitimidade da empresa para ser responsabilizada pelo tributo."
Ação declaratória de inexistência de relação jurídica tributária - IR.docx,peticao_inicial,tributario,peca_real,8,7,2,"A peça trata de uma ação declaratória de inexistência de relação jurídica tributária, pleiteando a isenção do Imposto de Renda devido a doença grave e a devolução de valores indevidamente retidos."
Impugnações Diversas - Pessoa Física - Jurídica.docx,modelo_generico,tributario,modelo,7,7,2,"Modelo de impugnação a autos de infração da Receita Federal, aplicável a pessoas físicas e jurídicas, com estrutura para apresentação de fatos e direitos."
Impugnação Administrativa Pessoa Física.docx,modelo_generico,tributario,modelo,7,7,2,"Modelo de impugnação administrativa a ser apresentada à Receita Federal, abordando a contestação de autos de infração e notificações de lançamento."
72,contestacao,tributario,peca_real,8,7,2,"Contestação apresentada pela União Federal em ação ordinária, alegando prescrição e decadência do direito de ação da parte autora, além de rechaçar a tese com base em jurisprudência."
Embargos à execução fiscal.docx,peticao_inicial,tributario,peca_real,8,7,2,"A peça trata de embargos à execução fiscal, questionando a validade da Certidão de Dívida Ativa e a falta de elementos essenciais na petição inicial."
Prescrição Crédito Tributário.docx,peticao_inicial,tributario,peca_real,8,7,2,"A peça apresenta uma manifestação em embargos à execução, discutindo a prescrição de crédito tributário e a aplicação de normas pertinentes ao caso."
imunidade tributária.docx,outro,tributario,peca_real,8,7,2,"A peça é um mandado de segurança preventivo que busca garantir a imunidade tributária de uma entidade sem fins lucrativos, contestando um auto de infração da Receita Federal."
Inconstitucionalidade - Bitributação - Mandado de Segurança.docx,peticao_inicial,tributario,peca_real,8,7,2,"A peça trata da impetração de um mandado de segurança contra a inconstitucionalidade da CPMF, argumentando sobre a bitributação e a violação de princípios constitucionais tributários."
Crédito Tributário - Antecipação de Tutela.docx,peticao_inicial,tributario,modelo,8,8,2,"Ação anulatória de crédito tributário com pedido de antecipação de tutela contra a cobrança de ISS, alegando a competência do ICMS sobre serviços de comunicação."
38,peticao_inicial,tributario,peca_real,8,7,2,"Ação declaratória visando a nulidade de créditos tributários referentes ao ICMS, argumentando a falta de base de cálculo na legislação estadual."
39,contestacao,tributario,peca_real,8,7,2,"Defesa contra auto de infração referente à cobrança de ISS sobre serviços bancários, alegando nulidade pela falta de indicação do fato gerador e fundamentação legal insuficiente."
33,peticao_inicial,tributario,peca_real,8,8,2,"Ação Anulatória de Débito Fiscal visando a declaração de decadência do crédito tributário referente ao ICMS, com base na omissão de lançamentos fiscais."
Ação de Execução Fiscal.docx,peticao_inicial,tributario,peca_real,8,7,2,"A peça é uma exceção de pré-executividade em uma ação de execução fiscal, questionando a nulidade da citação por edital e a origem do crédito executado."
Bloqueio - BacenJud - Pedido de redução a termo penhora.docx,contestacao,civil,peca_real,8,7,2,"A peça é uma contestação ao cumprimento de sentença, onde a Ré argumenta sobre a ausência de penhora e requer a conversão do bloqueio em penhora formal."
[2022] Contestação Adjudicação Compulsória.docx,contestacao,civil,modelo,8,8,2,"Contestação em ação de adjudicação compulsória, abordando preliminares de impugnação ao valor da causa e ilegitimidade ativa dos autores, além de argumentação sobre a improcedência da ação."
MODELO DE AÇÃO DE REPETIÇÃO DE INDÉBITO.docx,peticao_inicial,consumidor,modelo,8,7,2,Ação de repetição de indébito e pedido de indenização por danos morais devido à cobrança indevida em compra realizada pelo autor.
574,contestacao,civil,peca_real,8,8,2,"Contestação em ação de resolução contratual e reintegração de posse, alegando inadimplemento da autora e irregularidades na cobrança de juros."
2021,peticao_inicial,administrativo,peca_real,8,7,2,"Ação de cobrança de adicional de insalubridade proposta por servidora pública estadual, solicitando justiça gratuita e pagamento retroativo do adicional devido."
MODELO DE RESCISÃO DE CONTRATO - REINTEGRAÇÃO DE POSSE.docx,peticao_inicial,civil,modelo,8,7,2,"Ação de rescisão contratual com pedido de reintegração de posse, fundamentada no inadimplemento de contrato de compra e venda de imóvel, com prioridade de tramitação devido à idade da autora."
MODELO DE AÇÃO DECLARATÓRIA DE INEXISTÊNCIA DE DÉBITO.docx,peticao_inicial,consumidor,modelo,8,7,2,Ação declaratória de inexistência de débito com pedido de danos morais e tutela de urgência para evitar corte de energia elétrica devido a cobrança indevida.
MODELO DE AÇÃO DE OBRIGAÇÃO DE FAZER - PLANO DE SAÚDE.docx,peticao_inicial,civil,modelo,8,8,2,"Ação de obrigação de fazer para o fornecimento de medicamento por plano de saúde, com pedido de antecipação de tutela devido à gravidade da doença do autor."
07,contestacao,civil,modelo,8,8,2,"Modelo de contestação em ação de resolução contratual e reintegração de posse, abordando a defesa da ré e preliminares como ilegitimidade e incompetência."
MODELO DE AÇÃO DE CUMPRIMENTO FORÇADO DE OFERTA PROMOCIONAL.docx,peticao_inicial,consumidor,modelo,8,7,2,"Ação de cumprimento forçado de oferta promocional com pedido de indenização por danos morais, em razão do descumprimento de uma promoção por parte da ré."
MODELO DE AÇÃO DE CUMPRIMENTO DE OFERTA.docx,peticao_inicial,consumidor,modelo,8,7,2,Ação de obrigação de fazer com pedido de reparação de danos morais devido a falhas na prestação de serviços de telefonia.
MODELO DE AÇÃO DE COBRANÇA DE HONORÁRIOS ADVOCATÍCIOS.docx,peticao_inicial,civil,modelo,8,7,2,"A peça é uma ação de cobrança de honorários advocatícios, detalhando a relação contratual entre advogado e cliente, e a negativa de pagamento por parte do cliente após acordo judicial."
[2022] Segundos - Embargos de Declaraão - Omissão - Contradição - Enfrentamento dos Temas.docx,recurso,civil,modelo,8,7,2,"Modelo de embargos de declaração visando corrigir omissões e contradições em decisão judicial, com pedido de efeito modificativo."
MODELO DE AUTORIZAÇÃO JUDICIAL - VIAGEM.docx,peticao_inicial,familia,modelo,8,7,2,"Modelo de autorização judicial para viagem de menor, destacando a necessidade de autorização paterna e os direitos à educação."
MODELO DE RESPONSABILIDADE CIVIL - ERRO MÉDICO - DANOS MORAIS.docx,peticao_inicial,civil,modelo,8,7,2,"A peça é uma petição inicial de ação ordinária de indenização por danos morais devido a erro médico, abordando a legitimidade ativa e os fatos que levaram ao falecimento do paciente."
[2022] Embargos Declaração com Pedido de Efeito Modificativo-Infringente.docx,recurso,civil,modelo,8,7,2,"Modelo de embargos de declaração com pedido de efeito modificativo/infringente, abordando questões de ilegitimidade ativa e extinção de inventário sem resolução do mérito."
MODELO DE VENDA CASA.docx,peticao_inicial,consumidor,modelo,8,7,2,"A peça é uma ação de obrigação de não fazer contra uma empresa de internet, alegando descumprimento de contrato de serviço de internet ilimitada."
MODELO DE CONTESTAÇÃO - USUCAPIÃO.docx,contestacao,civil,modelo,7,6,2,"Peça de contestação em ação de usucapião, onde o réu argumenta a má-fé da autora e a legitimidade de sua posse sobre o imóvel."
MODELO DE AÇÃO DE DESPEJO.docx,peticao_inicial,civil,modelo,8,8,2,"Modelo de ação de despejo por falta de pagamento de aluguéis, incluindo pedidos de cobrança e exibição de documentos."
[2022] Ação de Retificacao de Registro Civil - Civil.docx,peticao_inicial,civil,peca_real,8,7,2,"Ação de retificação de registro civil para alterar o nome da genitora do requerente em documentos oficiais, fundamentada na Lei 6.015/73."
2021,recurso,civil,peca_real,8,7,2,"Agravo de instrumento interposto contra o indeferimento de gratuidade de justiça, argumentando a hipossuficiência do requerente e a necessidade de reforma da decisão."
MODELO DE ARROLAMENTO CÍVEL.docx,peticao_inicial,civil,modelo,8,8,2,"Modelo de petição inicial para arrolamento de bens deixados por falecimento, incluindo informações sobre herdeiros e bens a serem partilhados."
MODELO DE AÇÃO DE DANOS MORAIS E MATERIAIS - FURTO EM ESTACIONAMENTO.docx,peticao_inicial,civil,modelo,8,7,2,"Ação de indenização por danos materiais e morais devido ao furto de uma bicicleta em estacionamento de estabelecimento comercial, com fundamentação em responsabilidade civil e Código de Defesa do Consumidor."
MODELO DE AÇÃO DE NEGATIVAÇÃO INDEVIDA.docx,peticao_inicial,civil,modelo,8,7,2,"A peça é uma ação de indenização por negativação indevida, com pedido liminar para exclusão de apontamentos e danos morais, fundamentada em ato ilícito e responsabilidade objetiva do réu."
MODELO DE AÇÃO NEGATÓRIA DE DÉBITOS.docx,peticao_inicial,consumidor,modelo,8,7,2,"Ação declaratória de inexistência de débito e danos morais, com pedido de tutela antecipada, em face de cobrança indevida por parte de instituição de ensino."
MODELO DE AÇÃO DE REPARAÇÃO POR DANOS MORAIS.docx,peticao_inicial,consumidor,modelo,8,7,2,"Modelo de ação de reparação por danos morais devido ao atraso na entrega de produto adquirido em pré-venda, fundamentado no Código de Defesa do Consumidor."
01,recurso,administrativo,peca_real,8,7,2,"Recurso de apelação interposto pelo Município contra decisão que o condenou a fornecer medicamentos especiais, argumentando ilegitimidade passiva e ausência de resistência na solicitação dos fármacos."
MODELO DE COBRANÇA INDEVIDA - EXCESSO DE BAGAGEM.docx,peticao_inicial,consumidor,modelo,8,7,2,Ação de repetição de indébito e indenização por danos morais devido à cobrança indevida de excesso de bagagem por companhia aérea.
MODELO DE ACÃO DE DEFESA DO CONSUMIDOR - ESPECÍFICA.docx,peticao_inicial,consumidor,modelo,8,8,2,"Modelo de ação de defesa do consumidor, onde a autora busca reparação por não entrega de produto adquirido, incluindo pedido de indenização por danos morais."
MODELO DE AÇÃO DE MANUTENÇÃO DE POSSE DO IMÓVEL.docx,peticao_inicial,civil,modelo,8,7,2,"Ação de manutenção de posse de imóvel, com pedido de medida liminar, em face de invasão por parte do réu, apresentando fundamentos fáticos e jurídicos para a proteção da posse da autora."
[2022] Modelo - Extinção de Condominio - Venda de Quinhão - Civil.docx,peticao_inicial,civil,modelo,8,7,2,"Ação de dissolução de condomínio com pedido de venda de quinhão, devido à falta de acordo entre os condôminos."
04,peticao_inicial,civil,peca_real,8,7,2,"Ação de indenização por danos materiais e morais decorrentes de erro médico, com fundamentação em legislação e jurisprudência pertinentes."
688,peticao_inicial,civil,modelo,8,7,2,"Ação de restituição de valores e revisão de dívida de financiamento, com pedido de antecipação de tutela, alegando abusividade nas cláusulas contratuais e cobrança de juros excessivos."
[2022] Prova Pericial - Engenharia - Indenização - Sociedade de Fato - Investimento - Contrução de Prédio - Quesitos - Assistente Técnico.docx,peticao_inicial,civil,peca_real,8,7,2,Apresentação de quesitos e indicação de assistente técnico para prova pericial em ação de indenização relacionada à construção de prédio.
MODELO DE AÇÃO REVISIONAL DE VEÍCULOS.docx,peticao_inicial,consumidor,modelo,8,7,2,"A peça é uma ação revisional de contrato de financiamento de veículo, alegando cláusulas abusivas e a aplicação indevida de juros, com pedido de assistência judiciária gratuita."
03,peticao_inicial,civil,peca_real,8,7,2,"Ação indenizatória por abandono afetivo, visando reparação por danos morais devido à negligência do pai em relação ao filho."
[2022] Modelo Impugnação a Contestação da Re.docx,peticao_inicial,civil,modelo,8,7,2,"A peça é uma impugnação à contestação em um processo civil, abordando questões de litigância de má-fé e a validade de contratos de empréstimo consignado."
-[2022] Impugnação a Contestação - Juizado.docx,peticao_inicial,civil,peca_real,8,7,2,"Peça de impugnação à contestação em processo civil, abordando questões de boa-fé, danos morais e inversão do ônus da prova."
MODELO DE EXCEÇÃO DE PRÉ-EXECUTIVIDADE.docx,peticao_inicial,tributario,modelo,8,7,2,"Modelo de exceção de pré-executividade alegando ilegitimidade passiva em execução fiscal, com base em jurisprudência do STJ."
2021,peticao_inicial,civil,peca_real,8,8,2,"Ação de retificação de registro civil para alteração de sobrenome após divórcio, com pedido de gratuidade de justiça."
MODELO DE DECLARATÓRIA DE INEXISTÊNCIA DE DÉBITO.docx,peticao_inicial,civil,modelo,8,7,2,"A peça é uma ação declaratória de inexistência de débito e danos morais, onde a autora contesta cobranças indevidas feitas por uma instituição financeira."
2021,contestacao,civil,peca_real,8,8,2,"A contestação aborda a ação de reintegração de posse, argumentando que a autora possui acesso à sua residência por vias públicas, refutando a alegação de esbulho possessório e a necessidade de servidão de passagem."
MODELO DE AÇÃO DE REPARAÇÃO POR DANOS MORAIS - SERASA.docx,peticao_inicial,civil,modelo,8,7,2,"Ação de reparação por danos morais devido à negativação indevida do nome do autor em cadastro de proteção ao crédito, sem notificação prévia."
MODELO DE AÇÃO DE DEFESA DO CONSUMIDOR.docx,peticao_inicial,consumidor,modelo,8,7,2,"Modelo de ação de defesa do consumidor, onde a autora busca reparação por não entrega de produto adquirido e danos morais."
MODELO DE AÇÃO DE REPETIÇÃO DE INDÉBITO - DANO MORAL.docx,peticao_inicial,consumidor,modelo,8,7,2,Ação de repetição de indébito e danos morais devido à cobrança indevida e negativação do nome do autor.
388,peticao_inicial,civil,peca_real,8,7,2,"Ação de declaração de inexistência de débito com pedido de indenização por danos morais e materiais, devido à inclusão indevida do nome da autora em cadastros de inadimplentes."
MODELO DE AÇÃO DE INDENIZAÇÃO POR DANO MORAL.docx,peticao_inicial,civil,modelo,8,7,2,"Ação de indenização por dano moral devido a erro na emissão de passagens rodoviárias, causando constrangimento e prejuízos à autora, que é portadora de necessidade especial."
2021,peticao_inicial,civil,peca_real,8,7,2,Ação de retificação de registro civil solicitando a correção do nome no registro de nascimento devido a erro no ato do registro.
575,contestacao,civil,modelo,8,8,2,"Contestação apresentada por Clodoaldo Silva em resposta a ação condenatória por danos materiais e morais, alegando ilegitimidade passiva e responsabilidade de terceiro pelo acidente."
MODELO DE AÇÃO DE REPARAÇÃO DE DANOS MATERIAIS E MORAIS POR ATRASO DE VOO.docx,peticao_inicial,consumidor,modelo,8,7,2,"Ação de reparação de danos materiais e morais devido ao atraso de voo, com pedido de indenização e citação da ré."
[2022] Impugnação  a contestação - NCPC.docx,contestacao,civil,peca_real,8,7,2,"Impugnação à contestação em ação de repetição de indébito e indenização por danos morais, alegando a aplicação indevida de multa condominial."
MODELO DE AÇÃO DE COBRANÇA - DPVAT.docx,peticao_inicial,civil,modelo,8,7,2,"Modelo de ação de cobrança de seguro DPVAT, abordando a gratuidade de justiça e a necessidade de ingresso judicial devido a irregularidades na via administrativa."
2021,peticao_inicial,civil,peca_real,8,7,2,"Ação de retificação de registro civil para alterar o nome da genitora do requerente em documentos oficiais, fundamentada na Lei 6.015/73."
584,peticao_inicial,civil,modelo,8,7,2,"Modelo de reconvenção em ação de alimentos, abordando a contestação e pedido de tutela provisória de urgência, com argumentação sobre a situação financeira do réu e a necessidade de revisão do valor da pensão alimentícia."
Petição inicial - complemento do seguro DPVAT..docx,peticao_inicial,civil,peca_real,8,7,2,"Ação de cobrança de complemento de seguro DPVAT, com pedido de assistência judiciária gratuita e citação da ré para pagamento da indenização de R$ 13.500,00."
Petição inicial - modelo - renovatória contrato de locação..docx,peticao_inicial,civil,modelo,8,8,2,"A peça é uma petição inicial para a ação renovatória de contrato de locação comercial, fundamentada na Lei do Inquilinato, solicitando a renovação do contrato devido ao não cumprimento de tentativas administrativas."
Petição inicial - modelo - ação monitória - cheque..docx,peticao_inicial,civil,modelo,8,8,2,"Modelo de petição inicial para ação monitória visando a cobrança de valor devido representado por cheque, com fundamentos legais e pedidos específicos."
Contrarrazões aos embargos de execução em sede de Juizado Especial..docx,contestacao,civil,peca_real,8,7,2,"Contrarrazões apresentadas em resposta a embargos à execução, argumentando pela improcedência dos pedidos e manutenção da penhora dos bens."
Inventário pelo Rito de Arrolamento Comum..docx,peticao_inicial,civil,peca_real,8,8,2,"Petição inicial para abertura de inventário pelo rito de arrolamento comum, requerendo a nomeação de inventariante e expedição de carta de adjudicação."
04,peticao_inicial,administrativo,modelo,8,7,2,"Modelo de Ação Civil Pública proposta pelo Ministério Público do Estado de Goiás, visando a implementação de políticas públicas para a proteção de crianças e adolescentes, destacando a omissão do Município em cumprir suas obrigações legais."
49,recurso,civil,modelo,8,7,2,"Modelo de razões de apelação em ação de responsabilidade civil, abordando a improcedência da sentença e fundamentando o pedido de reforma."
Execução de Cheque - Juizado Especial Cível..docx,peticao_inicial,civil,peca_real,8,8,2,"Ação de execução de título extrajudicial (cheque) proposta por credor contra devedor, visando o recebimento de valores devidos e a penhora de bens em caso de inadimplência."
Petição inicial - indenizatória - negativação indevida..docx,peticao_inicial,civil,peca_real,8,7,2,Ação de indenização por danos morais devido à negativação indevida do nome do autor em órgãos de proteção ao crédito.
"Petição inicial - mandado de segurança - concurso público  -reprovação exame psicotécnico,.docx",peticao_inicial,administrativo,peca_real,8,7,2,"A peça é uma petição inicial de mandado de segurança visando a anulação da exclusão de um candidato de concurso público por reprovação em exame psicotécnico, alegando ilegalidade e falta de motivação."
Ação de dissolução parcial de sociedade..docx,peticao_inicial,empresarial,peca_real,8,7,2,"Ação de dissolução parcial de sociedade com apuração de haveres, incluindo pedido de tutela provisória de urgência para proteger os interesses do autor."
Petição inicial - despejo cumulado com cobrança..docx,peticao_inicial,civil,peca_real,8,8,2,"Ação de despejo cumulada com cobrança de aluguéis e taxas de condomínio, com pedido de tutela provisória de urgência devido à inadimplência da locatária."
52,peticao_inicial,consumidor,peca_real,8,7,2,"Ação ordinária de obrigação de fazer com pedido liminar contra negativa de cobertura de procedimento cirúrgico por plano de saúde, destacando abusividade contratual e direitos do consumidor."
Emenda da Petição Inicial - art. 321..docx,peticao_inicial,civil,peca_real,7,7,2,"Emenda à petição inicial em ação revisional, solicitando a revisão de cláusulas contratuais e a autorização para depósito de parcelas incontroversas."
Incidente de suspeição por amizade de juiz - art 146..docx,peticao_inicial,civil,peca_real,8,7,2,"A peça trata de um incidente de suspeição contra um juiz, fundamentado em amizade com a parte adversa, solicitando que o magistrado se declare suspeito para conduzir o processo."
